,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,PRECTOTCORR,RH2M,WS2M,T2M_MAX,T2M_MIN,Biomass,Location
168,"3315,68","24222,03","462,93","13510,22","133,8","4659,51","2795,93","94,33263804",Municipio_Aguada_Aptitud_No apta_24.csv
169,"3401,04","23742,09","340,97","13559,2","151,68","4655,67","2763,57","99,50842174",Municipio_Aguada_Aptitud_No apta_24.csv
170,"3296,36","24823,78","45,32","11476,95","146,97","5021,44","2921,16","103,2224346",Municipio_Aguada_Aptitud_No apta_24.csv
171,"3305,24","23651,75","375,02","12333,6","164,72","4874,76","2918,5","122,0936514",Municipio_Aguada_Aptitud_No apta_24.csv
172,"3281,67","24950,67","1307,03","14506,29","135,31","4337,85","2693,16","179,0175313",Municipio_Aguada_Aptitud_No apta_24.csv
173,"3356,66","23912,63","849,51","14783,49","142,54","4170,32","2619,85","126,2408424",Municipio_Aguada_Aptitud_No apta_24.csv
174,"3366,48","24864,05","906,82","14093,98","133,25","4477,77","2763,91","174,7264677",Municipio_Aguada_Aptitud_No apta_24.csv
175,"3315,68","24222,03","379,5","13002,68","165,18","4939,81","2962,13","107,5632985",Municipio_Aguada_Aptitud_No apta_25.csv
176,"3401,04","23742,09","285,09","13333,45","177,55","4814,59","2905,65","106,2595805",Municipio_Aguada_Aptitud_No apta_25.csv
177,"3296,36","24823,78","15,33","11164,15","177,63","5206,84","3066,08","112,3667938",Municipio_Aguada_Aptitud_No apta_25.csv
178,"3305,24","23651,75","328,66","12097,13","186,05","5027,45","2973,28","124,8330366",Municipio_Aguada_Aptitud_No apta_25.csv
179,"3281,67","24950,67","1112,09","14408,87","152,99","4467,69","2842,54","203,0927617",Municipio_Aguada_Aptitud_No apta_25.csv
180,"3356,66","23912,63","766,92",14783,"166,62","4300,81","2726,55","139,6381908",Municipio_Aguada_Aptitud_No apta_25.csv
181,"3366,48","24864,05","814,18","13809,31","157,65","4675,93","2951,38","181,0983947",Municipio_Aguada_Aptitud_No apta_25.csv
182,"3315,68","24222,03","379,5","13002,68","165,18","4939,81","2962,13","107,5632985",Municipio_Aguada_Aptitud_No apta_26.csv
183,"3401,04","23742,09","285,09","13333,45","177,55","4814,59","2905,65","106,2595805",Municipio_Aguada_Aptitud_No apta_26.csv
184,"3296,36","24823,78","15,33","11164,15","177,63","5206,84","3066,08","112,3667938",Municipio_Aguada_Aptitud_No apta_26.csv
185,"3305,24","23651,75","328,66","12097,13","186,05","5027,45","2973,28","124,8330366",Municipio_Aguada_Aptitud_No apta_26.csv
186,"3281,67","24950,67","1112,09","14408,87","152,99","4467,69","2842,54","203,0927617",Municipio_Aguada_Aptitud_No apta_26.csv
187,"3356,66","23912,63","766,92",14783,"166,62","4300,81","2726,55","139,6381908",Municipio_Aguada_Aptitud_No apta_26.csv
188,"3366,48","24864,05","814,18","13809,31","157,65","4675,93","2951,38","181,0983947",Municipio_Aguada_Aptitud_No apta_26.csv
189,"3315,68","24222,03","379,5","13002,68","165,18","4939,81","2962,13","107,5632985",Municipio_Aguada_Aptitud_No apta_27.csv
190,"3401,04","23742,09","285,09","13333,45","177,55","4814,59","2905,65","106,2595805",Municipio_Aguada_Aptitud_No apta_27.csv
